iteration,latency (ms),gpu,layer,model_type,model
73,3.18451189994812,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
74,3.2432000637054443,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
75,3.3193280696868896,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
76,3.170559883117676,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
77,3.211199998855591,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
78,3.6477439403533936,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
79,3.17411208152771,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
80,3.2485759258270264,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
81,3.181119918823242,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
82,3.21289610862732,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
83,3.174783945083618,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
84,3.153215885162353,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
85,3.645855903625488,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
86,3.23091197013855,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
87,3.169343948364258,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
88,4.415359973907471,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
89,3.310976028442383,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
90,3.627392053604126,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
91,3.2486400604248047,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
92,3.181920051574707,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
93,3.1693758964538574,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
94,3.183903932571411,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
95,3.1599040031433105,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
96,3.202591896057129,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
97,3.19215989112854,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
98,3.754048109054565,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
99,3.7638399600982666,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
0,3.8275840282440186,0,moe_l1_decode,Encoder-Decoder,DeepSpeed
1,4.175871849060059,0,moe_l1_decode,Encoder-Decoder,DeepSpeed
2,3.93232011795044,0,moe_l1_decode,Encoder-Decoder,DeepSpeed
3,6.154111862182617,0,moe_l1_decode,Encoder-Decoder,DeepSpeed
4,5.213024139404297,0,moe_l1_decode,Encoder-Decoder,DeepSpeed
5,4.489823818206787,0,moe_l1_decode,Encoder-Decoder,DeepSpeed
6,4.1202239990234375,0,moe_l1_decode,Encoder-Decoder,DeepSpeed
7,3.69321608543396,0,moe_l1_decode,Encoder-Decoder,DeepSpeed
8,3.91212797164917,0,moe_l1_decode,Encoder-Decoder,DeepSpeed
9,4.182720184326172,0,moe_l1_decode,Encoder-Decoder,DeepSpeed
10,4.218783855438232,0,moe_l1_decode,Encoder-Decoder,DeepSpeed
11,4.418496131896973,0,moe_l1_decode,Encoder-Decoder,DeepSpeed
12,4.162655830383301,0,moe_l1_decode,Encoder-Decoder,DeepSpeed
13,4.115327835083008,0,moe_l1_decode,Encoder-Decoder,DeepSpeed
14,4.004576206207275,0,moe_l1_decode,Encoder-Decoder,DeepSpeed
15,3.5156478881835938,0,moe_l1_decode,Encoder-Decoder,DeepSpeed
16,3.811583995819092,0,moe_l1_decode,Encoder-Decoder,DeepSpeed
17,5.595647811889648,0,moe_l1_decode,Encoder-Decoder,DeepSpeed
18,4.210336208343506,0,moe_l1_decode,Encoder-Decoder,DeepSpeed
19,3.718400001525879,0,moe_l1_decode,Encoder-Decoder,DeepSpeed
20,3.5455360412597656,0,moe_l1_decode,Encoder-Decoder,DeepSpeed
21,3.5108799934387207,0,moe_l1_decode,Encoder-Decoder,DeepSpeed
22,3.9808640480041504,0,moe_l1_decode,Encoder-Decoder,DeepSpeed
23,3.4162240028381348,0,moe_l1_decode,Encoder-Decoder,DeepSpeed
24,3.236959934234619,0,moe_l1_decode,Encoder-Decoder,DeepSpeed
25,3.6025280952453613,0,moe_l1_decode,Encoder-Decoder,DeepSpeed
26,3.5475521087646484,0,moe_l1_decode,Encoder-Decoder,DeepSpeed
27,3.846688032150269,0,moe_l1_decode,Encoder-Decoder,DeepSpeed
28,3.83078408241272,0,moe_l1_decode,Encoder-Decoder,DeepSpeed
29,3.408895969390869,0,moe_l1_decode,Encoder-Decoder,DeepSpeed
30,3.5058560371398926,0,moe_l1_decode,Encoder-Decoder,DeepSpeed
31,3.707743883132935,0,moe_l1_decode,Encoder-Decoder,DeepSpeed
32,3.93721604347229,0,moe_l1_decode,Encoder-Decoder,DeepSpeed
33,4.408383846282959,0,moe_l1_decode,Encoder-Decoder,DeepSpeed
34,3.767263889312744,0,moe_l1_decode,Encoder-Decoder,DeepSpeed
35,3.916703939437866,0,moe_l1_decode,Encoder-Decoder,DeepSpeed
36,3.735615968704224,0,moe_l1_decode,Encoder-Decoder,DeepSpeed
37,4.544000148773193,0,moe_l1_decode,Encoder-Decoder,DeepSpeed
38,3.531424045562744,0,moe_l1_decode,Encoder-Decoder,DeepSpeed
39,4.722239971160889,0,moe_l1_decode,Encoder-Decoder,DeepSpeed
40,4.291999816894531,0,moe_l1_decode,Encoder-Decoder,DeepSpeed
41,3.6947200298309326,0,moe_l1_decode,Encoder-Decoder,DeepSpeed
42,4.398464202880859,0,moe_l1_decode,Encoder-Decoder,DeepSpeed
43,3.8535680770874015,0,moe_l1_decode,Encoder-Decoder,DeepSpeed
44,4.664896011352539,0,moe_l1_decode,Encoder-Decoder,DeepSpeed
45,3.572416067123413,0,moe_l1_decode,Encoder-Decoder,DeepSpeed
46,4.457280158996582,0,moe_l1_decode,Encoder-Decoder,DeepSpeed
47,4.898176193237305,0,moe_l1_decode,Encoder-Decoder,DeepSpeed
48,4.597504138946533,0,moe_l1_decode,Encoder-Decoder,DeepSpeed
49,4.1947197914123535,0,moe_l1_decode,Encoder-Decoder,DeepSpeed
